id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,,,,,,,,,,
9835,Beautiful Room & House,Manningham,-37.7726839279316,145.092132846734,Private room,60,1,,,,,,,,,,
10803,Room in Cool Deco Apartment in Brunswick,Moreland,-37.7665051183353,144.980736099524,Private room,35,3,,,,,,,,,,
12936,St Kilda 1BR APT+BEACHSIDE+VIEWS+PARKING+WIFI+AC,Port Phillip,-37.8597550222528,144.977369131292,Entire home/apt,159,3,,,,,,,,,,
15246,Large private room-close to city,Darebin,-37.7589707173934,144.98922790667,Private room,50,2,,,,,,,,,,
16760,Melbourne BnB near City & Sports,Port Phillip,-37.8645303049528,144.992237928351,Private room,69,1,,,,,,,,,,
38271,Melbourne - Old Trafford Apartment,Casey,-38.0572541393463,145.339356130799,Entire home/apt,98,1,,,,,,,,,,
41836,CLOSE TO CITY & MELBOURNE AIRPORT,Darebin,-37.6972941808028,145.000815571704,Private room,50,7,,,,,,,,,,
43414,Home In The City,Melbourne,-37.8102672330311,144.985919970428,Private room,100,1,,,,,,,,,,
43429,Tranquil Javanese-Style Apartment in Oakleigh East,Monash,-37.8996009964628,145.114474540834,Entire home/apt,98,2,,,,,,,,,,
44082,Queen Room in Beautiful House,Frankston,-38.1493204543378,145.14156886702,Private room,60,3,,,,,,,,,,
47100,Très Charming in Fabulous Richmond,Yarra,-37.8180373922208,145.004416389198,Entire home/apt,98,4,,,,,,,,,,
50492,St Kilda Central LUXE 2BR APT+TWO COURTYARDS+WIFI,Port Phillip,-37.8612746928611,144.980378601224,Entire home/apt,190,3,,,,,,,,,,
51592,Central City Warehouse Apartment,Melbourne,-37.8148557867854,144.962671623092,Entire home/apt,228,2,,,,,,,,,,
58055,By the park,Bayside,-37.9295920402938,145.025677468024,Private room,46,2,,,,,,,,,,
62606,A Room Near the Park,Bayside,-37.9281727545773,145.025175980233,Private room,50,2,,,,,,,,,,
65432,Garden Views,Bayside,-37.929790303508,145.025479335967,Private room,43,2,,,,,,,,,,
66754,Richmond Super Central 60s Cool 1BR APT+WIFI+AC,Yarra,-37.820916398751,144.993839310598,Entire home/apt,138,3,,,,,,,,,,
